num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S019677;13/06/2024;23:10:00;CALL. ROBLES, 11;11;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443251;4471956;N;NULL
2024S019679;14/06/2024;2:35:00;CALL. AUGUSTO FIGUEROA, 29;29;1;CENTRO;Atropello a persona;Despejado;VMU eléctrico;Conductor;De 21 a 24 años;Mujer;14;Sin asistencia sanitaria;440758;4474872;N;NULL
2024S019679;14/06/2024;2:35:00;CALL. AUGUSTO FIGUEROA, 29;29;1;CENTRO;Atropello a persona;Despejado;VMU eléctrico;Peatón;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440758;4474872;N;NULL
2024S019683;13/06/2024;23:25:00;AUTOV. M-30, 15RR32;15RR32;2;ARGANZUELA;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439624;4472206;N;NULL
2024S019683;13/06/2024;23:25:00;AUTOV. M-30, 15RR32;15RR32;2;ARGANZUELA;Caída;Despejado;Motocicleta hasta 125cc;Pasajero;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;439624;4472206;N;NULL
2024S019684;14/06/2024;5:15:00;CALL. SAN LEONARDO / PLAZA. ESPAÑA;10;1;CENTRO;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;439652;4475118;N;NULL
2024S019684;14/06/2024;5:15:00;CALL. SAN LEONARDO / PLAZA. ESPAÑA;10;1;CENTRO;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;439652;4475118;N;NULL
2024S019684;14/06/2024;5:15:00;CALL. SAN LEONARDO / PLAZA. ESPAÑA;10;1;CENTRO;Alcance;Despejado;Turismo;Pasajero;De 21 a 24 años;Mujer;NULL;NULL;439652;4475118;N;NULL
2024S019684;14/06/2024;5:15:00;CALL. SAN LEONARDO / PLAZA. ESPAÑA;10;1;CENTRO;Alcance;Despejado;Turismo;Pasajero;De 21 a 24 años;Mujer;NULL;NULL;439652;4475118;N;NULL
2024S019685;14/06/2024;5:07:00;CALL. ALBAIDA, 36;36;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;447616;4476041;N;NULL
2024S019685;14/06/2024;5:07:00;CALL. ALBAIDA, 36;36;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;447616;4476041;N;NULL
2024S019685;14/06/2024;5:07:00;CALL. ALBAIDA, 36;36;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;447616;4476041;N;NULL
2024S019685;14/06/2024;5:07:00;CALL. ALBAIDA, 36;36;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;447616;4476041;N;NULL
2024S019686;14/06/2024;5:39:00;CALL. FUENCARRAL / CALL. HERNAN CORTES;2;1;CENTRO;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 35 a 39 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;440563;4475011;N;NULL
2024S019688;14/06/2024;6:40:00;PASEO. DELICIAS / CALL. VOLUNTARIOS MACABEBES;119;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 35 a 39 años;Hombre;3;Ingreso superior a 24 horas;441026;4471621;N;NULL
2024S019688;14/06/2024;6:40:00;PASEO. DELICIAS / CALL. VOLUNTARIOS MACABEBES;119;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;441026;4471621;N;NULL
2024S019689;14/06/2024;6:00:00;AVDA. PRINCESA JUANA DE AUSTRIA, 79;79;17;VILLAVERDE;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 21 a 24 años;Hombre;NULL;NULL;438826;4468915;S;1
2024S019689;14/06/2024;6:00:00;AVDA. PRINCESA JUANA DE AUSTRIA, 79;79;17;VILLAVERDE;Choque contra obstáculo fijo;NULL;Turismo;Pasajero;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;438826;4468915;N;NULL
2024S019689;14/06/2024;6:00:00;AVDA. PRINCESA JUANA DE AUSTRIA, 79;79;17;VILLAVERDE;Choque contra obstáculo fijo;NULL;Turismo;Pasajero;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;438826;4468915;S;NULL
2024S019690;14/06/2024;7:38:00;AVDA. ANDALUCIA / CALL. UNANIMIDAD;60;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Autobús;Conductor;De 50 a 54 años;Hombre;NULL;NULL;441127;4468040;N;NULL
2024S019690;14/06/2024;7:38:00;AVDA. ANDALUCIA / CALL. UNANIMIDAD;60;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Todo terreno;Conductor;De 60 a 64 años;Hombre;NULL;NULL;441127;4468040;N;NULL
2024S019691;14/06/2024;7:45:00;CALL. SAN TORIBIO, 8;8;13;PUENTE DE VALLECAS;Colisión múltiple;Despejado;Camión rígido;Conductor;Desconocido;Desconocido;NULL;NULL;446077;4470189;N;NULL
2024S019691;14/06/2024;7:45:00;CALL. SAN TORIBIO, 8;8;13;PUENTE DE VALLECAS;Colisión múltiple;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;NULL;NULL;446077;4470189;N;NULL
2024S019691;14/06/2024;7:45:00;CALL. SAN TORIBIO, 8;8;13;PUENTE DE VALLECAS;Colisión múltiple;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;446077;4470189;N;NULL
2024S019692;14/06/2024;8:15:00;CALL. LOS YEBENES, 104;104;10;LATINA;Alcance;NULL;Camión rígido;Conductor;De 45 a 49 años;Mujer;NULL;NULL;436218;4471562;N;NULL
2024S019692;14/06/2024;8:15:00;CALL. LOS YEBENES, 104;104;10;LATINA;Alcance;NULL;Furgoneta;Conductor;De 35 a 39 años;Hombre;NULL;NULL;436218;4471562;N;NULL
2024S019694;14/06/2024;8:53:00;CALL. CAMINO DE LOS VINATEROS, 78;78;14;MORATALAZ;Colisión lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;444767;4473456;N;NULL
2024S019694;14/06/2024;8:53:00;CALL. CAMINO DE LOS VINATEROS, 78;78;14;MORATALAZ;Colisión lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;444767;4473456;N;NULL
2024S019695;14/06/2024;8:45:00;GTA. PUERTA DE TOLEDO, 1;1;1;CENTRO;Colisión lateral;NULL;Autobús;Conductor;De 40 a 44 años;Hombre;NULL;NULL;439625;4473169;N;NULL
2024S019695;14/06/2024;8:45:00;GTA. PUERTA DE TOLEDO, 1;1;1;CENTRO;Colisión lateral;NULL;Turismo;Conductor;De 40 a 44 años;Mujer;NULL;NULL;439625;4473169;N;NULL
