num_expediente,fecha_hora,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,num_participante
2024S021048,2024-06-30T15:35:00Z,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Caída,Despejado,Motocicleta hasta 125cc,Conductor,1,Atención en urgencias sin posterior ingreso,40.435202722221256,-3.62029865750763,0,0,"1"
2024S021050,2024-07-01T09:16:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Atropello a persona,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.392996256189704,-3.6544349168652563,0,0,"1"
2024S021050,2024-07-01T09:16:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Atropello a persona,Despejado,Turismo,Peatón,7,Asistencia sanitaria sólo en el lugar del accidente,40.392996256189704,-3.6544349168652563,0,0,"2"
2024S021051,2024-06-30T16:55:00Z,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,14,Sin asistencia sanitaria,40.43274939985267,-3.6503282532564163,0,0,"1"
2024S021051,2024-06-30T16:55:00Z,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.43274939985267,-3.6503282532564163,0,0,"2"
2024S021051,2024-06-30T16:55:00Z,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,Turismo,Pasajero,77,Se desconoce,40.43274939985267,-3.6503282532564163,0,0,"3"
2024S021051,2024-06-30T16:55:00Z,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,Turismo,Pasajero,77,Se desconoce,40.43274939985267,-3.6503282532564163,0,0,"4"
2024S021051,2024-06-30T16:55:00Z,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,Turismo,Pasajero,77,Se desconoce,40.43274939985267,-3.6503282532564163,0,0,"5"
2024S021051,2024-06-30T16:55:00Z,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,Turismo,Pasajero,77,Se desconoce,40.43274939985267,-3.6503282532564163,0,0,"6"
2024S021052,2024-06-30T17:53:00Z,12,Usera,https://wikidata.org/entity/Q953368,Caída,Despejado,Bicicleta,Conductor,2,Ingreso inferior o igual a 24 horas,40.390996858760445,-3.7004614735144825,0,0,"1"
2024S021053,2024-06-30T18:28:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Alcance,Despejado,Furgoneta,Conductor,14,Sin asistencia sanitaria,40.458065903180355,-3.67680258555364,0,0,"1"
2024S021053,2024-06-30T18:28:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Alcance,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.458065903180355,-3.67680258555364,0,0,"2"
2024S021053,2024-06-30T18:28:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Alcance,Despejado,Turismo,Pasajero,77,Se desconoce,40.458065903180355,-3.67680258555364,0,0,"3"
2024S021053,2024-06-30T18:28:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Alcance,Despejado,Turismo,Pasajero,77,Se desconoce,40.458065903180355,-3.67680258555364,0,0,"4"
2024S021055,2024-06-29T22:30:00Z,1,Centro,https://wikidata.org/entity/Q1763376,Choque contra obstáculo fijo,Se desconoce,Turismo,Conductor,77,Se desconoce,40.421562538480146,-3.705245992025421,0,0,"1"
2024S021056,2024-06-30T20:10:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.38496971928232,-3.6559241575091836,0,0,"1"
