MAGNITUD,SAME_AS_WIKIDATA_type_of_chemical_entity,PUNTO_MUESTREO,ID_TIEMPO,MEDIDA
sulfur dioxide,https://wikidata.org/entity/Q5282,28079004,2023-01-01,1
carbon monoxide,https://wikidata.org/entity/Q2025,28079004,2023-01-01,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079004,2023-01-01,28
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079004,2023-01-01,35
NOx,https://wikidata.org/entity/Q20962970,28079004,2023-01-01,79
sulfur dioxide,https://wikidata.org/entity/Q5282,28079008,2023-01-01,3
carbon monoxide,https://wikidata.org/entity/Q2025,28079008,2023-01-01,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079008,2023-01-01,9
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079008,2023-01-01,38
PM 2.5,https://wikidata.org/entity/Q48035814,28079008,2023-01-01,14
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079008,2023-01-01,22
NOx,https://wikidata.org/entity/Q20962970,28079008,2023-01-01,52
ozone,https://wikidata.org/entity/Q36933,28079008,2023-01-01,23
batra,https://wikidata.org/entity/Q411087,28079008,2023-01-01,0.7
nitric oxide,https://wikidata.org/entity/Q207843,28079011,2023-01-01,5
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079011,2023-01-01,36
NOx,https://wikidata.org/entity/Q20962970,28079011,2023-01-01,43
batra,https://wikidata.org/entity/Q411087,28079011,2023-01-01,0.8
nitric oxide,https://wikidata.org/entity/Q207843,28079016,2023-01-01,4
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079016,2023-01-01,28
NOx,https://wikidata.org/entity/Q20962970,28079016,2023-01-01,34
ozone,https://wikidata.org/entity/Q36933,28079016,2023-01-01,17
nitric oxide,https://wikidata.org/entity/Q207843,28079017,2023-01-01,56
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079017,2023-01-01,60
NOx,https://wikidata.org/entity/Q20962970,28079017,2023-01-01,146
ozone,https://wikidata.org/entity/Q36933,28079017,2023-01-01,12
nitric oxide,https://wikidata.org/entity/Q207843,28079018,2023-01-01,27
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079018,2023-01-01,41
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079018,2023-01-01,38
NOx,https://wikidata.org/entity/Q20962970,28079018,2023-01-01,82
ozone,https://wikidata.org/entity/Q36933,28079018,2023-01-01,14
batra,https://wikidata.org/entity/Q411087,28079018,2023-01-01,0.3
nitric oxide,https://wikidata.org/entity/Q207843,28079024,2023-01-01,5
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079024,2023-01-01,27
PM 2.5,https://wikidata.org/entity/Q48035814,28079024,2023-01-01,12
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079024,2023-01-01,28
NOx,https://wikidata.org/entity/Q20962970,28079024,2023-01-01,34
ozone,https://wikidata.org/entity/Q36933,28079024,2023-01-01,21
batra,https://wikidata.org/entity/Q411087,28079024,2023-01-01,1.3
nitric oxide,https://wikidata.org/entity/Q207843,28079027,2023-01-01,10
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079027,2023-01-01,35
NOx,https://wikidata.org/entity/Q20962970,28079027,2023-01-01,51
ozone,https://wikidata.org/entity/Q36933,28079027,2023-01-01,16
sulfur dioxide,https://wikidata.org/entity/Q5282,28079035,2023-01-01,6
carbon monoxide,https://wikidata.org/entity/Q2025,28079035,2023-01-01,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079035,2023-01-01,17
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079035,2023-01-01,37
NOx,https://wikidata.org/entity/Q20962970,28079035,2023-01-01,63
ozone,https://wikidata.org/entity/Q36933,28079035,2023-01-01,22
sulfur dioxide,https://wikidata.org/entity/Q5282,28079036,2023-01-01,2
nitric oxide,https://wikidata.org/entity/Q207843,28079036,2023-01-01,14
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079036,2023-01-01,33
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079036,2023-01-01,22
NOx,https://wikidata.org/entity/Q20962970,28079036,2023-01-01,55
nitric oxide,https://wikidata.org/entity/Q207843,28079038,2023-01-01,6
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079038,2023-01-01,37
PM 2.5,https://wikidata.org/entity/Q48035814,28079038,2023-01-01,9
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079038,2023-01-01,16
NOx,https://wikidata.org/entity/Q20962970,28079038,2023-01-01,46
batra,https://wikidata.org/entity/Q411087,28079038,2023-01-01,1.4
nitric oxide,https://wikidata.org/entity/Q207843,28079039,2023-01-01,10
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079039,2023-01-01,37
NOx,https://wikidata.org/entity/Q20962970,28079039,2023-01-01,53
ozone,https://wikidata.org/entity/Q36933,28079039,2023-01-01,22
nitric oxide,https://wikidata.org/entity/Q207843,28079040,2023-01-01,8
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079040,2023-01-01,32
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079040,2023-01-01,20
NOx,https://wikidata.org/entity/Q20962970,28079040,2023-01-01,45
nitric oxide,https://wikidata.org/entity/Q207843,28079047,2023-01-01,18
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079047,2023-01-01,36
PM 2.5,https://wikidata.org/entity/Q48035814,28079047,2023-01-01,13
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079047,2023-01-01,21
NOx,https://wikidata.org/entity/Q20962970,28079047,2023-01-01,63
nitric oxide,https://wikidata.org/entity/Q207843,28079048,2023-01-01,3
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079048,2023-01-01,33
PM 2.5,https://wikidata.org/entity/Q48035814,28079048,2023-01-01,13
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079048,2023-01-01,20
NOx,https://wikidata.org/entity/Q20962970,28079048,2023-01-01,38
nitric oxide,https://wikidata.org/entity/Q207843,28079049,2023-01-01,3
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079049,2023-01-01,27
NOx,https://wikidata.org/entity/Q20962970,28079049,2023-01-01,32
ozone,https://wikidata.org/entity/Q36933,28079049,2023-01-01,23
nitric oxide,https://wikidata.org/entity/Q207843,28079050,2023-01-01,6
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079050,2023-01-01,32
PM 2.5,https://wikidata.org/entity/Q48035814,28079050,2023-01-01,6
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079050,2023-01-01,26
NOx,https://wikidata.org/entity/Q20962970,28079050,2023-01-01,42
nitric oxide,https://wikidata.org/entity/Q207843,28079054,2023-01-01,23
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079054,2023-01-01,35
NOx,https://wikidata.org/entity/Q20962970,28079054,2023-01-01,71
ozone,https://wikidata.org/entity/Q36933,28079054,2023-01-01,27
nitric oxide,https://wikidata.org/entity/Q207843,28079055,2023-01-01,14
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079055,2023-01-01,43
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079055,2023-01-01,26
NOx,https://wikidata.org/entity/Q20962970,28079055,2023-01-01,65
batra,https://wikidata.org/entity/Q411087,28079055,2023-01-01,0.8
carbon monoxide,https://wikidata.org/entity/Q2025,28079056,2023-01-01,500.0
nitric oxide,https://wikidata.org/entity/Q207843,28079056,2023-01-01,53
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079056,2023-01-01,54
PM 2.5,https://wikidata.org/entity/Q48035814,28079056,2023-01-01,20
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079056,2023-01-01,31
NOx,https://wikidata.org/entity/Q20962970,28079056,2023-01-01,135
nitric oxide,https://wikidata.org/entity/Q207843,28079057,2023-01-01,3
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079057,2023-01-01,32
PM 2.5,https://wikidata.org/entity/Q48035814,28079057,2023-01-01,13
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079057,2023-01-01,19
NOx,https://wikidata.org/entity/Q20962970,28079057,2023-01-01,36
nitric oxide,https://wikidata.org/entity/Q207843,28079058,2023-01-01,4
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079058,2023-01-01,18
NOx,https://wikidata.org/entity/Q20962970,28079058,2023-01-01,24
ozone,https://wikidata.org/entity/Q36933,28079058,2023-01-01,18
nitric oxide,https://wikidata.org/entity/Q207843,28079059,2023-01-01,4
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079059,2023-01-01,19
NOx,https://wikidata.org/entity/Q20962970,28079059,2023-01-01,25
ozone,https://wikidata.org/entity/Q36933,28079059,2023-01-01,29
nitric oxide,https://wikidata.org/entity/Q207843,28079060,2023-01-01,5
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079060,2023-01-01,34
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079060,2023-01-01,23
NOx,https://wikidata.org/entity/Q20962970,28079060,2023-01-01,41
ozone,https://wikidata.org/entity/Q36933,28079060,2023-01-01,19
sulfur dioxide,https://wikidata.org/entity/Q5282,28079004,2023-01-02,1
carbon monoxide,https://wikidata.org/entity/Q2025,28079004,2023-01-02,300.0
nitric oxide,https://wikidata.org/entity/Q207843,28079004,2023-01-02,13
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079004,2023-01-02,34
NOx,https://wikidata.org/entity/Q20962970,28079004,2023-01-02,54
sulfur dioxide,https://wikidata.org/entity/Q5282,28079008,2023-01-02,2
carbon monoxide,https://wikidata.org/entity/Q2025,28079008,2023-01-02,300.0
nitric oxide,https://wikidata.org/entity/Q207843,28079008,2023-01-02,9
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079008,2023-01-02,38
PM 2.5,https://wikidata.org/entity/Q48035814,28079008,2023-01-02,8
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079008,2023-01-02,15
NOx,https://wikidata.org/entity/Q20962970,28079008,2023-01-02,52
ozone,https://wikidata.org/entity/Q36933,28079008,2023-01-02,29
batra,https://wikidata.org/entity/Q411087,28079008,2023-01-02,1.1
nitric oxide,https://wikidata.org/entity/Q207843,28079011,2023-01-02,7
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079011,2023-01-02,39
NOx,https://wikidata.org/entity/Q20962970,28079011,2023-01-02,49
batra,https://wikidata.org/entity/Q411087,28079011,2023-01-02,1.1
nitric oxide,https://wikidata.org/entity/Q207843,28079016,2023-01-02,7
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079016,2023-01-02,36
NOx,https://wikidata.org/entity/Q20962970,28079016,2023-01-02,46
ozone,https://wikidata.org/entity/Q36933,28079016,2023-01-02,21
nitric oxide,https://wikidata.org/entity/Q207843,28079017,2023-01-02,18
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079017,2023-01-02,48
NOx,https://wikidata.org/entity/Q20962970,28079017,2023-01-02,76
ozone,https://wikidata.org/entity/Q36933,28079017,2023-01-02,23
nitric oxide,https://wikidata.org/entity/Q207843,28079018,2023-01-02,8
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079018,2023-01-02,35
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079018,2023-01-02,19
NOx,https://wikidata.org/entity/Q20962970,28079018,2023-01-02,48
ozone,https://wikidata.org/entity/Q36933,28079018,2023-01-02,30
batra,https://wikidata.org/entity/Q411087,28079018,2023-01-02,0.2
nitric oxide,https://wikidata.org/entity/Q207843,28079024,2023-01-02,4
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079024,2023-01-02,24
PM 2.5,https://wikidata.org/entity/Q48035814,28079024,2023-01-02,3
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079024,2023-01-02,17
NOx,https://wikidata.org/entity/Q20962970,28079024,2023-01-02,30
ozone,https://wikidata.org/entity/Q36933,28079024,2023-01-02,33
batra,https://wikidata.org/entity/Q411087,28079024,2023-01-02,1.7
nitric oxide,https://wikidata.org/entity/Q207843,28079027,2023-01-02,14
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079027,2023-01-02,41
NOx,https://wikidata.org/entity/Q20962970,28079027,2023-01-02,62
ozone,https://wikidata.org/entity/Q36933,28079027,2023-01-02,21
sulfur dioxide,https://wikidata.org/entity/Q5282,28079035,2023-01-02,6
carbon monoxide,https://wikidata.org/entity/Q2025,28079035,2023-01-02,300.0
nitric oxide,https://wikidata.org/entity/Q207843,28079035,2023-01-02,14
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079035,2023-01-02,39
NOx,https://wikidata.org/entity/Q20962970,28079035,2023-01-02,60
ozone,https://wikidata.org/entity/Q36933,28079035,2023-01-02,30
sulfur dioxide,https://wikidata.org/entity/Q5282,28079036,2023-01-02,1
nitric oxide,https://wikidata.org/entity/Q207843,28079036,2023-01-02,15
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079036,2023-01-02,39
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079036,2023-01-02,17
NOx,https://wikidata.org/entity/Q20962970,28079036,2023-01-02,62
nitric oxide,https://wikidata.org/entity/Q207843,28079038,2023-01-02,7
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079038,2023-01-02,36
PM 2.5,https://wikidata.org/entity/Q48035814,28079038,2023-01-02,6
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079038,2023-01-02,13
NOx,https://wikidata.org/entity/Q20962970,28079038,2023-01-02,47
batra,https://wikidata.org/entity/Q411087,28079038,2023-01-02,1.8
nitric oxide,https://wikidata.org/entity/Q207843,28079039,2023-01-02,8
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079039,2023-01-02,38
NOx,https://wikidata.org/entity/Q20962970,28079039,2023-01-02,50
ozone,https://wikidata.org/entity/Q36933,28079039,2023-01-02,28
nitric oxide,https://wikidata.org/entity/Q207843,28079040,2023-01-02,11
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079040,2023-01-02,38
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079040,2023-01-02,12
NOx,https://wikidata.org/entity/Q20962970,28079040,2023-01-02,55
nitric oxide,https://wikidata.org/entity/Q207843,28079047,2023-01-02,10
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079047,2023-01-02,37
PM 2.5,https://wikidata.org/entity/Q48035814,28079047,2023-01-02,7
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079047,2023-01-02,14
NOx,https://wikidata.org/entity/Q20962970,28079047,2023-01-02,52
nitric oxide,https://wikidata.org/entity/Q207843,28079048,2023-01-02,4
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079048,2023-01-02,36
PM 2.5,https://wikidata.org/entity/Q48035814,28079048,2023-01-02,9
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079048,2023-01-02,14
NOx,https://wikidata.org/entity/Q20962970,28079048,2023-01-02,42
nitric oxide,https://wikidata.org/entity/Q207843,28079049,2023-01-02,2
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079049,2023-01-02,24
NOx,https://wikidata.org/entity/Q20962970,28079049,2023-01-02,27
ozone,https://wikidata.org/entity/Q36933,28079049,2023-01-02,27
nitric oxide,https://wikidata.org/entity/Q207843,28079050,2023-01-02,16
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079050,2023-01-02,40
PM 2.5,https://wikidata.org/entity/Q48035814,28079050,2023-01-02,3
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079050,2023-01-02,38
NOx,https://wikidata.org/entity/Q20962970,28079050,2023-01-02,65
nitric oxide,https://wikidata.org/entity/Q207843,28079054,2023-01-02,18
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079054,2023-01-02,42
NOx,https://wikidata.org/entity/Q20962970,28079054,2023-01-02,70
ozone,https://wikidata.org/entity/Q36933,28079054,2023-01-02,25
nitric oxide,https://wikidata.org/entity/Q207843,28079055,2023-01-02,18
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079055,2023-01-02,45
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079055,2023-01-02,22
NOx,https://wikidata.org/entity/Q20962970,28079055,2023-01-02,73
batra,https://wikidata.org/entity/Q411087,28079055,2023-01-02,1.3
carbon monoxide,https://wikidata.org/entity/Q2025,28079056,2023-01-02,300.0
nitric oxide,https://wikidata.org/entity/Q207843,28079056,2023-01-02,32
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079056,2023-01-02,50
PM 2.5,https://wikidata.org/entity/Q48035814,28079056,2023-01-02,9
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079056,2023-01-02,17
NOx,https://wikidata.org/entity/Q20962970,28079056,2023-01-02,99
nitric oxide,https://wikidata.org/entity/Q207843,28079057,2023-01-02,9
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079057,2023-01-02,39
PM 2.5,https://wikidata.org/entity/Q48035814,28079057,2023-01-02,7
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079057,2023-01-02,12
NOx,https://wikidata.org/entity/Q20962970,28079057,2023-01-02,52
nitric oxide,https://wikidata.org/entity/Q207843,28079058,2023-01-02,7
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079058,2023-01-02,24
NOx,https://wikidata.org/entity/Q20962970,28079058,2023-01-02,35
ozone,https://wikidata.org/entity/Q36933,28079058,2023-01-02,19
nitric oxide,https://wikidata.org/entity/Q207843,28079059,2023-01-02,7
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079059,2023-01-02,30
NOx,https://wikidata.org/entity/Q20962970,28079059,2023-01-02,41
ozone,https://wikidata.org/entity/Q36933,28079059,2023-01-02,29
nitric oxide,https://wikidata.org/entity/Q207843,28079060,2023-01-02,8
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079060,2023-01-02,36
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079060,2023-01-02,16
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079060,2023-01-02,19
NOx,https://wikidata.org/entity/Q20962970,28079060,2023-01-02,49
ozone,https://wikidata.org/entity/Q36933,28079060,2023-01-02,23
sulfur dioxide,https://wikidata.org/entity/Q5282,28079004,2023-01-03,1
carbon monoxide,https://wikidata.org/entity/Q2025,28079004,2023-01-03,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079004,2023-01-03,28
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079004,2023-01-03,36
NOx,https://wikidata.org/entity/Q20962970,28079004,2023-01-03,79
sulfur dioxide,https://wikidata.org/entity/Q5282,28079008,2023-01-03,2
carbon monoxide,https://wikidata.org/entity/Q2025,28079008,2023-01-03,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079008,2023-01-03,13
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079008,2023-01-03,42
PM 2.5,https://wikidata.org/entity/Q48035814,28079008,2023-01-03,9
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079008,2023-01-03,16
NOx,https://wikidata.org/entity/Q20962970,28079008,2023-01-03,61
ozone,https://wikidata.org/entity/Q36933,28079008,2023-01-03,27
batra,https://wikidata.org/entity/Q411087,28079008,2023-01-03,2.1
nitric oxide,https://wikidata.org/entity/Q207843,28079011,2023-01-03,11
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079011,2023-01-03,40
NOx,https://wikidata.org/entity/Q20962970,28079011,2023-01-03,57
batra,https://wikidata.org/entity/Q411087,28079011,2023-01-03,1.4
nitric oxide,https://wikidata.org/entity/Q207843,28079016,2023-01-03,19
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079016,2023-01-03,34
NOx,https://wikidata.org/entity/Q20962970,28079016,2023-01-03,63
ozone,https://wikidata.org/entity/Q36933,28079016,2023-01-03,21
nitric oxide,https://wikidata.org/entity/Q207843,28079017,2023-01-03,74
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079017,2023-01-03,69
NOx,https://wikidata.org/entity/Q20962970,28079017,2023-01-03,182
ozone,https://wikidata.org/entity/Q36933,28079017,2023-01-03,11
nitric oxide,https://wikidata.org/entity/Q207843,28079018,2023-01-03,28
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079018,2023-01-03,42
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079018,2023-01-03,16
NOx,https://wikidata.org/entity/Q20962970,28079018,2023-01-03,85
ozone,https://wikidata.org/entity/Q36933,28079018,2023-01-03,12
batra,https://wikidata.org/entity/Q411087,28079018,2023-01-03,0.4
nitric oxide,https://wikidata.org/entity/Q207843,28079024,2023-01-03,8
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079024,2023-01-03,31
PM 2.5,https://wikidata.org/entity/Q48035814,28079024,2023-01-03,5
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079024,2023-01-03,19
NOx,https://wikidata.org/entity/Q20962970,28079024,2023-01-03,43
ozone,https://wikidata.org/entity/Q36933,28079024,2023-01-03,14
batra,https://wikidata.org/entity/Q411087,28079024,2023-01-03,2.4
nitric oxide,https://wikidata.org/entity/Q207843,28079027,2023-01-03,20
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079027,2023-01-03,39
NOx,https://wikidata.org/entity/Q20962970,28079027,2023-01-03,70
ozone,https://wikidata.org/entity/Q36933,28079027,2023-01-03,22
sulfur dioxide,https://wikidata.org/entity/Q5282,28079035,2023-01-03,6
carbon monoxide,https://wikidata.org/entity/Q2025,28079035,2023-01-03,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079035,2023-01-03,29
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079035,2023-01-03,44
NOx,https://wikidata.org/entity/Q20962970,28079035,2023-01-03,88
ozone,https://wikidata.org/entity/Q36933,28079035,2023-01-03,18
sulfur dioxide,https://wikidata.org/entity/Q5282,28079036,2023-01-03,2
nitric oxide,https://wikidata.org/entity/Q207843,28079036,2023-01-03,28
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079036,2023-01-03,39
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079036,2023-01-03,16
NOx,https://wikidata.org/entity/Q20962970,28079036,2023-01-03,82
nitric oxide,https://wikidata.org/entity/Q207843,28079038,2023-01-03,18
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079038,2023-01-03,44
PM 2.5,https://wikidata.org/entity/Q48035814,28079038,2023-01-03,6
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079038,2023-01-03,14
NOx,https://wikidata.org/entity/Q20962970,28079038,2023-01-03,71
batra,https://wikidata.org/entity/Q411087,28079038,2023-01-03,2.4
nitric oxide,https://wikidata.org/entity/Q207843,28079039,2023-01-03,27
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079039,2023-01-03,43
NOx,https://wikidata.org/entity/Q20962970,28079039,2023-01-03,84
ozone,https://wikidata.org/entity/Q36933,28079039,2023-01-03,22
nitric oxide,https://wikidata.org/entity/Q207843,28079040,2023-01-03,21
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079040,2023-01-03,42
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079040,2023-01-03,14
NOx,https://wikidata.org/entity/Q20962970,28079040,2023-01-03,73
nitric oxide,https://wikidata.org/entity/Q207843,28079047,2023-01-03,23
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079047,2023-01-03,39
PM 2.5,https://wikidata.org/entity/Q48035814,28079047,2023-01-03,10
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079047,2023-01-03,19
NOx,https://wikidata.org/entity/Q20962970,28079047,2023-01-03,74
nitric oxide,https://wikidata.org/entity/Q207843,28079048,2023-01-03,6
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079048,2023-01-03,34
PM 2.5,https://wikidata.org/entity/Q48035814,28079048,2023-01-03,7
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079048,2023-01-03,11
NOx,https://wikidata.org/entity/Q20962970,28079048,2023-01-03,44
nitric oxide,https://wikidata.org/entity/Q207843,28079049,2023-01-03,3
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079049,2023-01-03,28
NOx,https://wikidata.org/entity/Q20962970,28079049,2023-01-03,33
ozone,https://wikidata.org/entity/Q36933,28079049,2023-01-03,23
nitric oxide,https://wikidata.org/entity/Q207843,28079050,2023-01-03,18
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079050,2023-01-03,36
PM 2.5,https://wikidata.org/entity/Q48035814,28079050,2023-01-03,3
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079050,2023-01-03,28
NOx,https://wikidata.org/entity/Q20962970,28079050,2023-01-03,64
nitric oxide,https://wikidata.org/entity/Q207843,28079054,2023-01-03,48
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079054,2023-01-03,53
NOx,https://wikidata.org/entity/Q20962970,28079054,2023-01-03,126
ozone,https://wikidata.org/entity/Q36933,28079054,2023-01-03,15
nitric oxide,https://wikidata.org/entity/Q207843,28079055,2023-01-03,23
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079055,2023-01-03,44
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079055,2023-01-03,16
NOx,https://wikidata.org/entity/Q20962970,28079055,2023-01-03,79
batra,https://wikidata.org/entity/Q411087,28079055,2023-01-03,1.4
carbon monoxide,https://wikidata.org/entity/Q2025,28079056,2023-01-03,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079056,2023-01-03,41
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079056,2023-01-03,50
PM 2.5,https://wikidata.org/entity/Q48035814,28079056,2023-01-03,13
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079056,2023-01-03,21
NOx,https://wikidata.org/entity/Q20962970,28079056,2023-01-03,113
nitric oxide,https://wikidata.org/entity/Q207843,28079057,2023-01-03,24
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079057,2023-01-03,41
PM 2.5,https://wikidata.org/entity/Q48035814,28079057,2023-01-03,5
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079057,2023-01-03,11
NOx,https://wikidata.org/entity/Q20962970,28079057,2023-01-03,78
nitric oxide,https://wikidata.org/entity/Q207843,28079058,2023-01-03,7
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079058,2023-01-03,15
NOx,https://wikidata.org/entity/Q20962970,28079058,2023-01-03,26
ozone,https://wikidata.org/entity/Q36933,28079058,2023-01-03,19
nitric oxide,https://wikidata.org/entity/Q207843,28079059,2023-01-03,13
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079059,2023-01-03,29
NOx,https://wikidata.org/entity/Q20962970,28079059,2023-01-03,48
ozone,https://wikidata.org/entity/Q36933,28079059,2023-01-03,30
nitric oxide,https://wikidata.org/entity/Q207843,28079060,2023-01-03,10
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079060,2023-01-03,33
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079060,2023-01-03,11
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079060,2023-01-03,19
NOx,https://wikidata.org/entity/Q20962970,28079060,2023-01-03,49
ozone,https://wikidata.org/entity/Q36933,28079060,2023-01-03,23
sulfur dioxide,https://wikidata.org/entity/Q5282,28079004,2023-01-04,2
carbon monoxide,https://wikidata.org/entity/Q2025,28079004,2023-01-04,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079004,2023-01-04,44
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079004,2023-01-04,42
NOx,https://wikidata.org/entity/Q20962970,28079004,2023-01-04,109
sulfur dioxide,https://wikidata.org/entity/Q5282,28079008,2023-01-04,3
