num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,distrito_urls,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S000010,2024-01-01T00:00:00Z,7:20:00,CALL. LUNA / CALL. CORREDERA BAJA DE SAN PABLO,1,1,Centro,https://www.wikidata.org/wiki/Q1763376,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,440192.679,4474773.26,N,"NULL"
2024S000012,2024-01-01T00:00:00Z,8:05:00,"CALL. MARIA ODIAGA, 20",20,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Colisión lateral,NULL,Turismo,Conductor,De 25 a 29 años,Hombre,NULL,NULL,437001.874,4470045.546,N,"NULL"
2024S000012,2024-01-01T00:00:00Z,8:05:00,"CALL. MARIA ODIAGA, 20",20,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Colisión lateral,NULL,Turismo,Conductor,De 30 a 34 años,Mujer,NULL,NULL,437001.874,4470045.546,N,"NULL"
2024S000013,2024-01-01T00:00:00Z,7:35:00,CALL. CONDE DE PEÑALVER / CALL. PADILLA,64,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,Atropello a persona,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,14,Sin asistencia sanitaria,442700.31,4475969.738,N,"NULL"
2024S000013,2024-01-01T00:00:00Z,7:35:00,CALL. CONDE DE PEÑALVER / CALL. PADILLA,64,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,Atropello a persona,Despejado,Turismo,Peatón,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,442700.31,4475969.738,N,"NULL"
2024S000015,2024-01-01T00:00:00Z,7:35:00,"PASEO. CASTELLANA, 33",33,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,441548.551,4475930.63,N,"NULL"
2024S000015,2024-01-01T00:00:00Z,7:35:00,"PASEO. CASTELLANA, 33",33,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,Choque contra obstáculo fijo,Despejado,VMU eléctrico,Conductor,De 18 a 20 años,Hombre,14,Sin asistencia sanitaria,441548.551,4475930.63,S,"NULL"
2024S000018,2024-01-01T00:00:00Z,7:40:00,"CALL. SANCHEZ PRECIADO, 41",41,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Colisión múltiple,Nublado,Furgoneta,Conductor,Desconocido,Desconocido,NULL,NULL,439703.142,4479106.448,N,"NULL"
2024S000018,2024-01-01T00:00:00Z,7:40:00,"CALL. SANCHEZ PRECIADO, 41",41,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Colisión múltiple,Nublado,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,439703.142,4479106.448,N,"NULL"
2024S000018,2024-01-01T00:00:00Z,7:40:00,"CALL. SANCHEZ PRECIADO, 41",41,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Colisión múltiple,Nublado,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,439703.142,4479106.448,N,"NULL"
